split,held_out,subset,model,n_test,rmse,mae,r2,pearson,spearman
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,ridge_identity_clip_train,6001,5.225494718188079,3.649782447554499,-0.007269788163048796,0.158371794211232,0.1012065438898439
lodo_001,TEMOZOLOMIDE,all,xgboost_identity,6001,5.178074223762675,3.537356049398791,0.01092887174507573,0.12314357076251446,0.055152290405649354
lodo_001,TEMOZOLOMIDE,central_abs_le_100,xgboost_identity,6001,5.178074223762675,3.537356049398791,0.01092887174507573,0.12314357076251446,0.055152290405649354
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,xgboost_identity,6001,5.178074223762675,3.537356049398791,0.01092887174507573,0.12314357076251446,0.055152290405649354
lodo_001,TEMOZOLOMIDE,all,xgboost_identity_clip_train,6001,5.179349306023419,3.539113570326881,0.010441701313666951,0.12190901734372249,0.05604310662289316
lodo_001,TEMOZOLOMIDE,central_abs_le_100,xgboost_identity_clip_train,6001,5.179349306023419,3.539113570326881,0.010441701313666951,0.12190901734372249,0.05604310662289316
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,xgboost_identity_clip_train,6001,5.179349306023419,3.539113570326881,0.010441701313666951,0.12190901734372249,0.05604310662289316
lodo_001,TEMOZOLOMIDE,all,ridge_chemical_cell,6001,5.369590151589737,3.767650394669617,-0.0635875827318455,0.1518689487681459,0.1153650747095675
lodo_001,TEMOZOLOMIDE,central_abs_le_100,ridge_chemical_cell,6001,5.369590151589737,3.767650394669617,-0.0635875827318455,0.1518689487681459,0.1153650747095675
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,ridge_chemical_cell,6001,5.369590151589737,3.767650394669617,-0.0635875827318455,0.1518689487681459,0.1153650747095675
lodo_001,TEMOZOLOMIDE,all,ridge_chemical_cell_clip_train,6001,5.3701288700489,3.76791106386731,-0.06380100796176569,0.1516428005943799,0.11526353899750785
lodo_001,TEMOZOLOMIDE,central_abs_le_100,ridge_chemical_cell_clip_train,6001,5.3701288700489,3.76791106386731,-0.06380100796176569,0.1516428005943799,0.11526353899750785
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,ridge_chemical_cell_clip_train,6001,5.3701288700489,3.76791106386731,-0.06380100796176569,0.1516428005943799,0.11526353899750785
lodo_001,TEMOZOLOMIDE,all,xgboost_chemical_cell,6001,5.301844074983603,3.6535563721357063,-0.036919123650330565,0.10528290345897776,0.04934592776718859
lodo_001,TEMOZOLOMIDE,central_abs_le_100,xgboost_chemical_cell,6001,5.301844074983603,3.6535563721357063,-0.036919123650330565,0.10528290345897776,0.04934592776718859
lodo_001,TEMOZOLOMIDE,exactly_one_unseen,xgboost_chemical_cell,6001,5.301844074983603,3.6535563721357063,-0.036919123650330565,0.10528290345897776,0.04934592776718859
lodo_001,TEMOZOLOMIDE,all,xgboost_chemical_cell_clip_train,6001,5.293827091335119,3.6457868167302485,-0.03378561822304249,0.11279374076324342,0.054999544246243655
