drug,structure_id,parent_smiles,cid
ZOLEDRONIC ACID,5596F666414D92B5030B1A90,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,68740.0
ABIRATERONE,64736F142DA815A8A6EA1659,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,132971.0
NSC733504,279DB9D612A11A1CC003ECA5,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(OCCO)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,6442177.0
NAVELBINE DITARTRATE (TN),6FA6170B3452CF8EA4738307,CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,25136944.0
VINCRISTINE SULFATE,D195A1C9BF88FA8DABD4BD2E,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,249332.0
FULVESTRANT,E1EF5567ED96E032FB436376,CC12CCC3c4ccc(O)cc4CC(CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)C3C1CCC2O,104741.0
ERLOTINIB HYDROCHLORIDE,F99CB62860A4576F9AF94817,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,176871.0
BLEOMYCIN,C8828E69A5FFC4A47F4FF850,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,5360373.0
IFOSFAMIDE,DBA89C2F6CE6DE6AAB2DB7BE,O=P1(NCCCl)OCCCN1CCCl,3690.0
ROMIDEPSIN,A89CFFC627CE2C2D785A2F2C,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,5352062.0
IMIQUIMOD,CB372AD0CF51E063333CEA5B,CC(C)Cn1cnc2c(N)nc3ccccc3c21,57469.0
TOPOTECAN HYDROCHLORIDE,F9FBB8B6923877372F6F5564,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,60699.0
TRETINOIN,CD3D5F9A84EF65B88D8C0877,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,444795.0
ANTIBIOTIC AY 22989,07F4AB32053EF6FB3026EEC4,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,5284616.0
CISPLATINO,8CE86A6AE65D3692E7305E2C,N,5460033.0
AMIFOSTINE,59532AA207CA5E2034158F4E,NCCCNCCSP(=O)(O)O,2141.0
CHEMBL277800,BDAB7CF0137A02FD43D9049F,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F,354624.0
CELECOXIB,8DBCE83DD566935F922113C4,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,2662.0
NSC 85998,67FF2F4909B4B142994BF068,CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,29327.0
CHEMBL17639,EB3A03FE178865E3FFCF1C28,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,1546.0
PAZOPANIB HYDROCHLORIDE,A0C0BBC74B7E1C19CB73A2DF,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,11525740.0
LETROZOLE,C25BED65E12D10071E0F0BFC,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,3902.0
PIPOBROMAN,F3F80E3E8CB4F0130842DCF6,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,4842.0
METHOXSALEN,B0EE9477E392EC9B11A2F225,COc1c2occc2cc2ccc(=O)oc12,4114.0
CYTARABINE HYDROCHLORIDE,5E34FD85E119E4A331DF8835,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,6252.0
ELOXATIN (TN) (SANOFI SYNTHELAB),A2FB6105521CBF7AD95959F7,NC1CCCCC1N,24197464.0
CO-V,6228308C0DD832A684B1C303,OCC1OC(n2cnc3c2NC=NCC3O)CC1O,40926.0
5-FLUORO-2\'-DEOXYURIDINE,5E7A841B94FA29CE78AB991A,O=C1NC(=O)N(C2CC(O)C(CO)O2)CC1F,44403842.0
1-(5-DEOXYPENTOFURANOSYL)-5-FLUORO-4-{[(PENTYLOXY)CARBONYL]AMINO}PYRIMIDIN-2(1H)-ONE,21CF8F6E972332309E2EB13F,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F,400633.0
ACTINOMYCIN D,B7A8A0C5C2BE8740886194ED,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,457193.0
GEMZAR (LILLY),4B79C8BF8462B9E4E064D6A1,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,356653.0
TAMOXIFEN CITRATE,D65BC222E3924AE9DA4CD2BB,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,2733525.0
MECHLORETHAMINE HYDROCHLORIDE,E2C744CFB5B5612887C90D3A,CN(CCCl)CCCl,5935.0
AZACYTIDINE,0AF8C75E0255C790E6606D18,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,9444.0
AMINOLEVULINIC ACID HYDROCHLORIDE,445E9D26C19DAAE8E3AF51CC,NCC(=O)CCC(=O)O,123608.0
BENDAMUSTINE HYDROCHLORIDE,B32BBAC781DCBCA57A30D383,Cn1c(CCCC(=O)O)nc2cc(N(CCCl)CCCl)ccc21,77082.0
VEMURAFENIB,3DF96F47F0D2D7FE81D52BFC,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F,42611257.0
FLUDARABINE BASE,CE4AA2D92F24307142B7DF25,Nc1nc(F)nc2c1ncn2C1OC(CO)C(O)C1O,3367.0
VINBLASTINE SULFATE,D37BE8791E7583A7AA15FB56,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,5388983.0
