drug,pair_cell_count
MLN2238,78
VERTEPORFIN,78
451492-95-8,77
AT-7519,77
IXAZOMIB,77
PONATINIB,77
AV-412,76
DANUSERTIB,76
GSK2126458 (GSK458),76
1088965-37-0,75
CHEMBL3348887,75
ENTINOSTAT (MS-275),75
MIFEPRISTONE,75
NCGC00164600-03,75
NIRAPARIB,75
TIVANTINIB,75
VISUDYNE,75
ECHINOMYCIN,74
ENGLERIN A,74
EPOTHILONE A,74
GSK-923295,74
KX-01,74
LY-2874455,74
NSC-319726,74
NSC-48006,74
OSI-906 (LINSITINIB),74
71555-25-4,73
CHEMBL3349010,73
CHEMBL3923667,73
CLADRIBINE,73
ENTINOSTAT,73
LINSITINIB,73
NCGC00163548-02,73
NCGC00181306-03,73
AC1L2QK3,72
ASR-ISOBUDIMER-SO2PH-4-CH2OC(O)NME2,72
CHEMBL3348991,72
GSK461364,72
LENVATINIB (E7080),72
LESTAURTINIB,72
SCHEMBL224883,72
GSK-461364A,71
LENVATINIB,71
ORG 25935,71
SCH-900435,71
CHEMBL3348985,70
PROCHLORPERAZINE DIMALEATE,70
CHEMBL3188944,69
EEYARESTATIN I,69
HMSL10088,69
NCGC00263265-01,69
OLIGOMYCIN A,69
SCH 900776,69
ZALTOPROFEN,69
ELESCLOMOL (STA-4783),68
"2-METHOXY-3,17BETA-DIHYDROXYESTRA-1,3,5(10)-TRIENE",67
891494-64-7,67
EFLORNITHINE HYDROCHLORIDE,67
SCHEMBL8233739,67
A-485,66
ABEMACICLIB,66
BAY-876,66
FCCP,66
PD-0325901,66
TORIN-2,66
ADERBASIB,65
AT-IAP,65
GLPG0187,65
IBIGLUSTAT,65
LAROTRECTINIB,65
NUTLIN-3,65
SNS-032 (BMS-387032),65
ALISERTIB (MLN8237),64
RAF265 (CHIR-265),64
9-CIS-RETINOIC ACID,63
ALISERTIB,63
BIRINAPANT,63
CHEMBL2144205,63
CHIR-265,63
SNS-032,63
FOSTAMATINIB (R788),62
SR-3306,62
FINGOLIMOD HYDROCHLORIDE,61
FOSTAMATINIB,61
NUTLIN-3B,61
PARTHENOLIDE,61
PRAZOSIN,60
TAK-733,60
(-)-ETHYL APOVINCAMINATE,59
CHEMBL3322515,59
FINGOLIMOD,59
NCGC00017254-02,59
NCGC00346475-01,59
PRAZOSIN HYDROCHLORIDE,59
TOCRIS-1479,59
CICLOPIROX ETHANOLAMINE,58
FENRETINIDE,58
FLAVOPIRIDOL HCL,58
ZALDARIDE MALEATE,58
CP-466722,57
2-FLUORO ARA-A,54
2-FLUOROADENOSINE,51
AEE788 (NVP-AEE788),51
BENZAMIL,51
COBIMETINIB,51
CYTIDINE,51
NIGULDIPINE,50
VALPROIC ACID SODIUM SALT,50
VALPROIC ACID SODIUM SALT (SODIUM VALPROATE),50
AEE-788,49
AMIODARONE HYDROCHLORIDE,49
BEPRIDIL,49
DOFETILIDE,49
NAFTOPIDIL,49
NPS-2143,49
SELUMETINIB (AZD6244),49
SOTALOL,49
AC-265347,48
AFATINIB,48
BENAZEPRIL,48
CALINDOL,48
LINOPIRDINE,48
NIFEKALANT,48
PERHEXILINE,48
SELUMETINIB,48
TERIFLUNOMIDE,48
TRIPTOLIDE,48
AZD8330,47
CALMIDAZOLIUM CHLORIDE,47
GNE-618,47
HDACI-02,47
LY2157299,47
NOSCAPINE,47
TIC10,47
TRIPTOLIDE (PG490),47
AZD-8330,46
AZELNIDIPINE,46
BETA-NARCOTINE,46
CARVEDILOL,46
CITARINOSTAT,46
FASUDIL HYDROCHLORIDE,46
ISRADIPINE,46
MILCICLIB,46
NPS-R568,46
OXCARBAZEPINE,46
UNC-1215,46
TRIFLUOPERAZINE HYDROCHLORIDE,46
BLEOMYCIN SULFATE,45
BREFELDIN A,45
COBIMETINIB (R-ENANTIOMER),45
EED-226,45
EPZ-005687,45
