split,held_out,model,subset,fit_predict_seconds,n_test,rmse,mae,r2,pearson,spearman
lodo_001,TEMOZOLOMIDE,xgboost_clip_train,exactly_one_unseen,0.31743383407592773,8562,9.369180290251766,5.600675264943442,0.04449207204925876,0.25902174016802926,0.11012745943492484
lodo_002,SORAFENIB,mean,all,0.00034117698669433594,7609,71.33776497943767,70.66316128525878,-41.04148014235701,,
lodo_002,SORAFENIB,mean,central_abs_le_100,0.00034117698669433594,7607,71.06491397087622,70.59225444865604,-74.42642105813535,,
lodo_002,SORAFENIB,mean,exactly_one_unseen,0.00034117698669433594,7609,71.33776497943767,70.66316128525878,-41.04148014235701,,
lodo_002,SORAFENIB,median,all,0.001954793930053711,7609,11.009751762129518,5.241527927454332,-0.0013687964785717988,,
lodo_002,SORAFENIB,median,central_abs_le_100,0.001954793930053711,7607,8.198835610256303,5.134996319179702,-0.003962264275861438,,
lodo_002,SORAFENIB,median,exactly_one_unseen,0.001954793930053711,7609,11.009751762129518,5.241527927454332,-0.0013687964785717988,,
lodo_002,SORAFENIB,ridge,all,0.13626909255981445,7609,419.70158160132974,392.1287240557642,-1454.1917097690646,0.006854490217480566,-0.03192931396067729
lodo_002,SORAFENIB,ridge,central_abs_le_100,0.13626909255981445,7607,419.3012327435824,391.9163334789447,-2624.822167508137,0.038453661346695894,-0.03195332959325084
lodo_002,SORAFENIB,ridge,exactly_one_unseen,0.13626909255981445,7609,419.70158160132974,392.1287240557642,-1454.1917097690646,0.006854490217480566,-0.03192931396067729
lodo_002,SORAFENIB,random_forest,all,0.4487881660461426,7609,63.492504648986376,55.98731755919794,-32.30304307850681,0.05611014596125674,0.2038094574347594
lodo_002,SORAFENIB,random_forest,central_abs_le_100,0.4487881660461426,7607,63.19020851960791,55.920717001183064,-58.636563387764205,0.06313192728929333,0.20318577811444383
lodo_002,SORAFENIB,random_forest,exactly_one_unseen,0.4487881660461426,7609,63.492504648986376,55.98731755919794,-32.30304307850681,0.05611014596125674,0.2038094574347594
lodo_002,SORAFENIB,extra_trees,all,0.3378000259399414,7609,64.55683067514245,52.92974084893136,-33.428920243607074,0.03523887084758229,0.1859201440794194
lodo_002,SORAFENIB,extra_trees,central_abs_le_100,0.3378000259399414,7607,64.2529408795104,52.86107969783976,-60.65936565685327,0.03825669482236509,0.18531951723478113
lodo_002,SORAFENIB,extra_trees,exactly_one_unseen,0.3378000259399414,7609,64.55683067514245,52.92974084893136,-33.428920243607074,0.03523887084758229,0.1859201440794194
